DBN,Borough,Borough_Cnt,District,School_Num,School,Grade,Year,Category,Headcount,Lvl_1_Cnt,Lvl_1_Pct,Lvl_2_Cnt,Lvl_2_Pct,Lvl_3_Cnt,Lvl_3_Pct,Lvl_4_Cnt,Lvl_4_Pct,Lvl_Pass_Cnt,Lvl_Pass_Pct
27Q042,QUEENS,118134,27,42,P.S./M.S 042 R. VERNAM,8,2014,All Students,62,30,48.4,24,38.7,7,11.3,1,1.6,8,12.9
27Q042,QUEENS,117533,27,42,P.S./M.S 042 R. VERNAM,8,2015,All Students,59,34,57.6,20,33.9,4,6.8,1,1.7,5,8.5
27Q042,QUEENS,118611,27,42,P.S./M.S 042 R. VERNAM,8,2016,All Students,68,37,54.4,23,33.8,8,11.8,0,0,8,11.8
26Q266,QUEENS,117054,26,266,P.S./I.S. 266,8,2013,All Students,84,8,9.5,28,33.3,25,29.8,23,27.4,48,57.1
26Q266,QUEENS,118134,26,266,P.S./I.S. 266,8,2014,All Students,68,3,4.4,23,33.8,24,35.3,18,26.5,42,61.8
26Q266,QUEENS,117533,26,266,P.S./I.S. 266,8,2015,All Students,95,3,3.2,32,33.7,51,53.7,9,9.5,60,63.2
26Q266,QUEENS,118611,26,266,P.S./I.S. 266,8,2016,All Students,77,1,1.3,17,22.1,30,39,29,37.7,59,76.6
26Q216,QUEENS,117054,26,216,J.H.S. 216 GEORGE J. RYAN,8,2013,All Students,416,57,13.7,142,34.1,128,30.8,89,21.4,217,52.2
26Q216,QUEENS,118134,26,216,J.H.S. 216 GEORGE J. RYAN,8,2014,All Students,431,51,11.8,130,30.2,146,33.9,104,24.1,250,58
26Q216,QUEENS,117533,26,216,J.H.S. 216 GEORGE J. RYAN,8,2015,All Students,473,32,6.8,146,30.9,176,37.2,119,25.2,295,62.4
26Q216,QUEENS,118611,26,216,J.H.S. 216 GEORGE J. RYAN,8,2016,All Students,449,28,6.2,110,24.5,184,41,127,28.3,311,69.3
26Q178,QUEENS,117054,26,178,P.S./ IS 178 HOLLISWOOD,8,2013,All Students,57,5,8.8,16,28.1,23,40.4,13,22.8,36,63.2
26Q178,QUEENS,118134,26,178,P.S./ IS 178 HOLLISWOOD,8,2014,All Students,66,5,7.6,30,45.5,24,36.4,7,10.6,31,47
26Q178,QUEENS,117533,26,178,P.S./ IS 178 HOLLISWOOD,8,2015,All Students,48,3,6.3,23,47.9,15,31.3,7,14.6,22,45.8
26Q178,QUEENS,118611,26,178,P.S./ IS 178 HOLLISWOOD,8,2016,All Students,60,3,5,18,30,20,33.3,19,31.7,39,65
26Q172,QUEENS,117054,26,172,IRWIN ALTMAN MIDDLE SCHOOL 172,8,2013,All Students,330,35,10.6,130,39.4,109,33,56,17,165,50
26Q172,QUEENS,118134,26,172,IRWIN ALTMAN MIDDLE SCHOOL 172,8,2014,All Students,309,19,6.1,113,36.6,118,38.2,59,19.1,177,57.3
26Q172,QUEENS,117533,26,172,IRWIN ALTMAN MIDDLE SCHOOL 172,8,2015,All Students,301,36,12,99,32.9,116,38.5,50,16.6,166,55.1
26Q172,QUEENS,118611,26,172,IRWIN ALTMAN MIDDLE SCHOOL 172,8,2016,All Students,316,26,8.2,86,27.2,123,38.9,81,25.6,204,64.6
26Q158,QUEENS,117054,26,158,M.S. 158 MARIE CURIE,8,2013,All Students,362,51,14.1,122,33.7,115,31.8,74,20.4,189,52.2
26Q158,QUEENS,118134,26,158,M.S. 158 MARIE CURIE,8,2014,All Students,402,53,13.2,138,34.3,130,32.3,81,20.1,211,52.5
26Q158,QUEENS,117533,26,158,M.S. 158 MARIE CURIE,8,2015,All Students,345,36,10.4,116,33.6,118,34.2,75,21.7,193,55.9
26Q158,QUEENS,118611,26,158,M.S. 158 MARIE CURIE,8,2016,All Students,345,36,10.4,80,23.2,146,42.3,83,24.1,229,66.4
26Q074,QUEENS,117054,26,74,J.H.S. 074 NATHANIEL HAWTHORNE,8,2013,All Students,287,26,9.1,87,30.3,101,35.2,73,25.4,174,60.6
26Q074,QUEENS,118134,26,74,J.H.S. 074 NATHANIEL HAWTHORNE,8,2014,All Students,331,17,5.1,97,29.3,127,38.4,90,27.2,217,65.6
26Q074,QUEENS,117533,26,74,J.H.S. 074 NATHANIEL HAWTHORNE,8,2015,All Students,296,18,6.1,73,24.7,115,38.9,90,30.4,205,69.3
26Q074,QUEENS,118611,26,74,J.H.S. 074 NATHANIEL HAWTHORNE,8,2016,All Students,352,18,5.1,83,23.6,120,34.1,131,37.2,251,71.3
26Q067,QUEENS,117054,26,67,J.H.S. 067 LOUIS PASTEUR,8,2013,All Students,287,15,5.2,80,27.9,109,38,83,28.9,192,66.9
26Q067,QUEENS,118134,26,67,J.H.S. 067 LOUIS PASTEUR,8,2014,All Students,291,12,4.1,95,32.6,115,39.5,69,23.7,184,63.2
26Q067,QUEENS,117533,26,67,J.H.S. 067 LOUIS PASTEUR,8,2015,All Students,274,30,10.9,58,21.2,111,40.5,75,27.4,186,67.9
26Q067,QUEENS,118611,26,67,J.H.S. 067 LOUIS PASTEUR,8,2016,All Students,242,10,4.1,48,19.8,97,40.1,87,36,184,76
25Q499,QUEENS,117054,25,499,"THE QUEENS COLLEGE SCHOOL FOR MATH, SCIENCE AND TECHNOLOGY",8,2013,All Students,47,0,0,13,27.7,20,42.6,14,29.8,34,72.3
25Q499,QUEENS,118134,25,499,"THE QUEENS COLLEGE SCHOOL FOR MATH, SCIENCE AND TECHNOLOGY",8,2014,All Students,48,3,6.3,8,16.7,22,45.8,15,31.3,37,77.1
25Q499,QUEENS,117533,25,499,"THE QUEENS COLLEGE SCHOOL FOR MATH, SCIENCE AND TECHNOLOGY",8,2015,All Students,53,5,9.4,16,30.2,20,37.7,12,22.6,32,60.4
